id,priority,release_blocker,language,expected_intent,coverage,automated_evidence,status,note
DISC-EN-01,P0,yes,EN,disclosure,partial,tests/unit/disclosure.test.ts; tests/integration/retell-webhook.test.ts,mechanism-proven,"Script, versioning, replay rule and completion evidence are automated. Accent and noise need a live call."
DISC-EN-02,P0,yes,EN,disclosure,partial,tests/unit/disclosure.test.ts; tests/integration/retell-webhook.test.ts,mechanism-proven,"Script, versioning, replay rule and completion evidence are automated. Accent and noise need a live call."
DISC-IT-01,P0,yes,IT,disclosure,partial,tests/unit/disclosure.test.ts; tests/integration/retell-webhook.test.ts,mechanism-proven,"Script, versioning, replay rule and completion evidence are automated. Accent and noise need a live call."
DISC-IT-02,P0,yes,IT,disclosure,partial,tests/unit/disclosure.test.ts; tests/integration/retell-webhook.test.ts,mechanism-proven,"Script, versioning, replay rule and completion evidence are automated. Accent and noise need a live call."
PRIV-EN-01,P0,yes,EN,privacy_question,partial,tests/unit/disclosure.test.ts; tests/unit/prompt.test.ts,mechanism-proven,Approved privacy and refusal wording is in the prompt and drift-tested. Whether the agent reaches for it needs a live call.
PRIV-EN-02,P0,yes,EN,transcription_refusal,partial,tests/unit/disclosure.test.ts; tests/unit/prompt.test.ts,mechanism-proven,Approved privacy and refusal wording is in the prompt and drift-tested. Whether the agent reaches for it needs a live call.
PRIV-IT-01,P0,yes,IT,transcription_refusal,partial,tests/unit/disclosure.test.ts; tests/unit/prompt.test.ts,mechanism-proven,Approved privacy and refusal wording is in the prompt and drift-tested. Whether the agent reaches for it needs a live call.
INFO-EN-01,P1,no,EN,opening_hours,partial,tests/database/privacy.test.ts,mechanism-proven,Approved-data-only retrieval is automated. Spoken accuracy under accent and noise needs a live call.
INFO-EN-02,P1,no,EN,special_hours,partial,tests/database/privacy.test.ts,mechanism-proven,Approved-data-only retrieval is automated. Spoken accuracy under accent and noise needs a live call.
INFO-EN-03,P1,no,EN,directions_parking,partial,tests/database/privacy.test.ts,mechanism-proven,Approved-data-only retrieval is automated. Spoken accuracy under accent and noise needs a live call.
